Paper#Ref;Input Modalities > Image;Input Modalities > Timestamp;Input Modalities > Geolocation;Input Modalities > Text;Input Modalities > Other;Image Representation > Deep Learning-Based Image Features;Image Representation > Traditional Image Features;Image Representation > None;Summarization > Aggregation;Summarization > Subsampling;Summarization > Filtering;Summarization > Spatial Arrangement;Summarizing Entities > Representative Images;Summarizing Entities > Marks;Summarizing Entities > Captions and Tags;Summarizing Entities > Numerical Statistics;Input for Position in Visualization > Single Attribute;Input for Position in Visualization > Two Attributes;Input for Position in Visualization > More Attributes;Input for Position in Visualization > Distance;Input for Position in Visualization > Geography;Input for Position in Visualization > Topology;Input for Position in Visualization > None / fixed Visualization;Goal > Explore;Goal > Confirm;Goal > Present;Goal > Produce;Interactions > Select;Interactions > Navigate;Interactions > Reconfigure;Interactions > Encode;Interactions > Show Details / Show Context;Interactions > Filter;Interactions > None;Evaluation > Algorithmic Performance;Evaluation > User Experience and Performance;Evaluation > Qualitative Results Inspection;Evaluation > Case Study;Evaluation > None;Set Size - Claimed > Tens;Set Size - Claimed > Hundreds;Set Size - Claimed > Thousands;Set Size - Claimed > Tens of Thousands;Set Size - Claimed > Hundreds of Thousands;Set Size - Claimed > Millions or More;Set Size - Claimed > Not Specified;Set Size - Confirmed > Tens;Set Size - Confirmed > Hundreds;Set Size - Confirmed > Thousands;Set Size - Confirmed > Tens of Thousands;Set Size - Confirmed > Hundreds of Thousands;Set Size - Confirmed > Millions or More;Set Size - Confirmed > Not Specified;Unnamed: 54
wu_image_2023#http://zotero.org/groups/3431/items/P4DWR7LL;1;0;0;0;1;2;0;0;0;0;0;3;4;0;0;0;5;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;7;8;8;8;0;0;9;0;0;0;0;0;0;10;0;0;0;0;0;0;
rayar_viewable_2018#http://zotero.org/groups/3431/items/GAB27IWZ;1;0;0;0;1;0;2;0;3;0;3;0;4;0;0;0;0;0;0;5;0;5;0;6;0;0;0;7;7;0;7;7;0;0;8;8;8;0;0;0;0;0;0;0;9;0;0;0;0;0;0;10;0;
pogorelov_clustertag_2017#http://zotero.org/groups/3431/items/C5YEJ2YL;1;0;0;0;1;0;2;0;3;0;3;0;4;0;0;0;0;0;0;0;0;5;0;6;0;0;6;7;7;7;0;7;0;0;0;0;0;0;8;0;0;0;9;0;0;0;0;0;0;10;0;0;0;
samani_knowledge-based_2017#http://zotero.org/groups/3431/items/YBP4748U;1;0;0;0;1;0;2;0;0;0;3;0;4;0;0;0;0;0;0;0;0;0;5;0;0;6;0;0;0;0;0;0;0;7;8;8;0;0;0;0;0;9;0;0;0;0;0;0;10;0;0;0;0;
barthel_real-time_2019#http://zotero.org/groups/3431/items/T9UJYMHW;1;0;0;0;0;2;2;0;3;0;3;3;4;0;0;0;0;0;0;5;0;0;0;6;0;0;0;7;7;0;0;7;7;0;0;0;0;0;8;0;0;0;0;0;9;0;0;0;0;0;0;10;0;
pan_content-based_2021#http://zotero.org/groups/3431/items/QWPNISL7;1;0;0;0;0;2;2;0;3;0;3;0;4;0;0;0;0;0;0;5;0;0;0;0;0;6;0;0;0;0;0;0;0;7;8;8;0;0;0;0;9;0;0;0;0;0;0;10;0;0;0;0;0;
xie_semantic-based_2019#http://zotero.org/groups/3431/items/9V74JR4E;1;0;0;0;0;2;0;0;3;0;3;3;4;4;4;0;0;0;0;5;0;5;0;6;6;6;0;7;7;7;0;7;7;0;8;8;8;0;0;0;0;0;9;0;0;0;0;0;0;10;0;0;0;
barthel_graph_2017#http://zotero.org/groups/3431/items/5BDVQVVJ;1;0;0;0;0;2;0;0;3;0;3;3;4;0;0;0;0;0;0;5;0;0;0;6;0;0;0;0;7;0;0;7;0;0;0;0;0;0;8;0;0;0;0;0;9;0;0;0;0;0;0;10;0;
zahalka_ii-20_2021#http://zotero.org/groups/3431/items/PRYCUTRS;1;0;0;0;0;2;0;0;3;0;3;0;4;0;4;4;5;0;0;0;0;0;0;6;0;0;6;7;0;0;0;0;7;0;8;8;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;10;0;
phueaksri_approach_2023#http://zotero.org/groups/3431/items/HPDC5VZ6;1;0;0;0;0;2;0;0;3;0;0;0;0;0;4;0;0;0;0;0;0;0;5;0;0;6;0;0;0;0;0;0;0;7;8;0;8;0;0;9;0;0;0;0;0;0;10;0;0;0;0;0;0;
phueaksri_towards_2023#http://zotero.org/groups/3431/items/SXEI9VD3;1;0;0;0;0;2;0;0;3;0;0;0;0;0;4;0;0;0;0;0;0;0;5;0;0;6;0;0;0;0;0;0;0;7;8;0;0;0;0;9;0;0;0;0;0;0;10;0;0;0;0;0;0;
zheng_album_2014#http://zotero.org/groups/3431/items/UXVFXIU4;1;0;0;0;0;0;2;0;3;0;3;0;4;0;0;0;0;0;0;0;0;0;5;0;0;6;0;0;0;0;0;0;0;7;0;8;8;0;0;9;0;0;0;0;0;0;10;0;0;0;0;0;0;
kim_generating_2015#http://zotero.org/groups/3431/items/HJ264SP4;1;0;0;0;0;0;2;0;3;0;3;0;4;0;0;0;0;0;0;0;0;0;5;0;0;6;0;0;0;0;0;0;0;7;0;8;0;0;0;0;9;0;0;0;0;0;0;10;0;0;0;0;0;
